,Employee ID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City
0,E02002,Kai Le,Controls Engineer,Engineering,Manufacturing,Male,Asian,47.0,2/5/2022,"$92,368 ",0%,United States,Columbus
1,E02003,Robert Patel,Analyst,Sales,Corporate,Male,Asian,58.0,10/23/2013,"$45,703 ",0%,United States,Chicago
2,E02004,Cameron Lo,Network Administrator,IT,Research & Development,Male,Asian,34.0,3/24/2019,"$83,576 ",0%,China,Shanghai
3,E02005,Harper Castillo,IT Systems Architect,IT,Corporate,Female,Latino,39.0,4/7/2018,"$98,062 ",0%,United States,Seattle
4,E02006,Harper Dominguez,Director,Engineering,Corporate,Female,Latino,42.0,6/18/2005,"$175,391 ",24%,United States,Austin
5,E02007,Ezra Vu,Network Administrator,IT,Manufacturing,Male,Asian,62.0,4/22/2004,"$66,227 ",0%,United States,Phoenix
6,E02008,Jade Hu,Sr. Analyst,Accounting,Specialty Products,Female,Asian,58.0,6/27/2009,"$89,744 ",0%,China,Chongqing
7,E02009,Miles Chang,Analyst II,Finance,Corporate,Male,Asian,62.0,2/19/1999,"$69,674 ",0%,China,Chengdu
8,E02010,Gianna Holmes,System Administrator,IT,Manufacturing,Female,Caucasian,38.0,9/9/2011,"$97,630 ",0%,United States,Seattle
9,E02011,Jameson Thomas,Manager,Finance,Specialty Products,Male,Caucasian,52.0,2/5/2015,"$105,879 ",10%,United States,Miami
10,E02012,Jameson Pena,Systems Analyst,IT,Manufacturing,Male,Latino,49.0,10/12/2003,"$40,499 ",0%,United States,Miami
11,E02013,Bella Wu,Sr. Analyst,Finance,Specialty Products,Female,Asian,63.0,8/3/2014,"$71,418 ",0%,United States,Phoenix
12,E02014,Jose Wong,Director,IT,Manufacturing,Male,Asian,45.0,11/15/2017,"$150,558 ",23%,China,Chongqing
13,E02015,Lucas Richardson,Manager,Marketing,Corporate,Male,Caucasian,36.0,7/22/2018,"$118,912 ",8%,United States,Miami
14,E02016,Jacob Moore,Sr. Manager,Marketing,Corporate,Male,Black,42.0,3/24/2021,"$131,422 ",15%,United States,Phoenix
15,E02017,Luna Lu,IT Systems Architect,IT,Corporate,Female,Asian,62.0,7/26/1997,"$64,208 ",0%,United States,Miami
16,E02018,Bella Tran,Vice President,Engineering,Specialty Products,Female,Asian,45.0,8/5/2010,"$254,486 ",33%,China,Chengdu
17,E02019,Ivy Chau,Analyst,Sales,Specialty Products,Female,Asian,61.0,3/3/2019,"$54,811 ",0%,China,Chongqing
18,E02020,Jordan Kumar,Service Desk Analyst,IT,Specialty Products,Male,Asian,29.0,11/11/2017,"$95,729 ",0%,United States,Seattle
19,E02021,Sophia Gutierrez,Manager,Accounting,Specialty Products,Female,Latino,63.0,2/8/2009,"$102,649 ",6%,United States,Austin
20,E02022,Eli Dang,Sr. Manager,Accounting,Specialty Products,Male,Asian,45.0,11/16/2015,"$122,875 ",12%,United States,Chicago
21,E02023,Lillian Lewis,Technical Architect,IT,Research & Development,Female,Black,43.0,8/14/2013,"$83,323 ",0%,United States,Phoenix
22,E02024,Serenity Cao,Account Representative,Sales,Manufacturing,Female,Asian,31.0,10/21/2018,"$66,721 ",0%,China,Shanghai
23,E02025,Parker Lai,Vice President,Accounting,Specialty Products,Male,Asian,48.0,11/29/2006,"$246,400 ",36%,China,Chongqing
24,E02026,Charles Simmons,Manager,Sales,Specialty Products,Male,Caucasian,55.0,10/27/1997,"$113,525 ",6%,United States,Miami
25,E02027,Jayden Luu,Director,Accounting,Manufacturing,Male,Asian,64.0,5/13/2004,"$184,342 ",22%,China,Beijing
26,E02028,Brooks Richardson,Director,Marketing,Specialty Products,Male,Caucasian,58.0,11/24/2020,"$151,341 ",22%,United States,Seattle
27,E02029,Ivy Thompson,Manager,Marketing,Manufacturing,Female,Caucasian,50.0,8/11/2004,"$118,900 ",5%,United States,Seattle
28,E02030,Peyton Wright,Sr. Manager,Marketing,Corporate,Female,Black,41.0,5/13/2017,"$153,370 ",10%,United States,Chicago
29,E02031,Wyatt Dinh,System Administrator,IT,Specialty Products,Male,Asian,50.0,3/15/2002,"$72,860 ",0%,China,Shanghai
30,E02032,Ruby Alexander,Vice President,Finance,Research & Development,Female,Caucasian,59.0,8/13/2001,"$255,610 ",36%,United States,Phoenix
31,E02033,Axel Oh,Sr. Analyst,Sales,Corporate,Male,Asian,26.0,10/24/2020,"$84,962 ",0%,China,Chengdu
32,E02034,Axel Ramirez,Manager,Human Resources,Specialty Products,Male,Latino,55.0,12/4/2017,"$103,795 ",7%,United States,Seattle
33,E02035,Liliana Chang,Service Desk Analyst,IT,Corporate,Female,Asian,32.0,1/11/2018,"$97,509 ",0%,China,Shanghai
34,E02036,Leonardo Carter,Business Partner,Human Resources,Specialty Products,Male,Caucasian,50.0,9/7/2022,"$54,931 ",0%,United States,Austin
35,E02037,Landon Gonzales,Test Engineer,Engineering,Specialty Products,Male,Latino,54.0,8/30/2009,"$88,689 ",0%,United States,Phoenix
36,E02038,Amelia Dominguez,Sr. Manager,Accounting,Corporate,Female,Latino,31.0,9/23/2015,"$158,184 ",15%,Brazil,Rio de Janeiro
37,E02039,Silas Ross,Analyst,Marketing,Research & Development,Male,Caucasian,47.0,2/10/2016,"$48,523 ",0%,United States,Austin
38,E02040,Jeremiah Cheng,Sr. Analyst,Marketing,Specialty Products,Male,Asian,26.0,2/5/2022,"$70,946 ",0%,China,Shanghai
39,E02041,Chloe Chin,Sr. Manager,Finance,Specialty Products,Female,Asian,62.0,11/13/2021,"$134,487 ",10%,United States,Seattle
40,E02042,Ella Martinez,Sr. Analyst,Finance,Research & Development,Female,Latino,35.0,4/6/2012,"$76,111 ",0%,United States,Chicago
41,E02043,Gianna Jones,Manager,Accounting,Research & Development,Female,Caucasian,48.0,9/26/1998,"$119,220 ",9%,United States,Columbus
42,E02044,Austin Chow,Vice President,Accounting,Manufacturing,Male,Asian,35.0,4/11/2021,"$180,858 ",32%,China,Chongqing
43,E02045,Ella Chen,Manager,Accounting,Specialty Products,Female,Asian,45.0,11/10/2005,"$114,072 ",8%,United States,Phoenix
44,E02046,Ruby Kaur,Test Engineer,Engineering,Research & Development,Female,Asian,26.0,6/26/2021,"$91,672 ",0%,China,Beijing
45,E02047,Savannah Morales,Analyst II,Marketing,Corporate,Female,Latino,48.0,1/26/2005,"$71,542 ",0%,United States,Chicago
46,E02048,Luca Powell,IT Coordinator,IT,Specialty Products,Male,Caucasian,33.0,12/18/2016,"$54,700 ",0%,United States,Miami
47,E02049,Parker Thao,Analyst II,Sales,Corporate,Male,Asian,55.0,5/8/2011,"$65,022 ",0%,China,Chongqing
48,E02050,Ryan Vo,Cloud Infrastructure Architect,IT,Research & Development,Male,Asian,38.0,4/12/2011,"$65,109 ",0%,United States,Phoenix
49,E02051,Isabella Ngo,Manager,Accounting,Specialty Products,Female,Asian,49.0,1/1/2022,"$126,598 ",9%,United States,Miami
50,E02052,Leah Vega,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,52.0,6/7/2018,"$72,388 ",0%,United States,Miami
51,E02053,Jaxson Liu,Vice President,Finance,Corporate,Male,Asian,27.0,5/18/2021,"$205,216 ",36%,United States,Chicago
52,E02054,Santiago f Ross,Enterprise Architect,IT,Specialty Products,Male,Caucasian,34.0,12/13/2012,"$74,004 ",0%,United States,Columbus
53,E02055,Layla Bell,Vice President,Engineering,Corporate,Female,Caucasian,65.0,7/26/2001,"$203,030 ",31%,United States,Chicago
54,E02056,Bella Morales,Director,Sales,Specialty Products,Female,Latino,38.0,5/10/2016,"$194,864 ",24%,United States,Austin
55,E02057,Eliza Kang,Computer Systems Manager,IT,Manufacturing,Female,Asian,63.0,1/27/2002,"$76,659 ",5%,United States,Phoenix
56,E02058,Gabriel Reyes,Manager,Sales,Corporate,Male,Latino,42.0,6/10/2005,"$101,630 ",8%,Brazil,Sao Paulo
57,E02059,Piper Garcia,Sr. Manager,Sales,Research & Development,Female,Latino,60.0,11/24/1993,"$126,929 ",12%,Brazil,Sao Paulo
58,E02060,Jacob Cheng,Director,Sales,Manufacturing,Male,Asian,47.0,11/26/1999,"$155,890 ",17%,United States,Columbus
59,E02061,Nathan Hong,Director,Finance,Corporate,Male,Asian,50.0,10/2/2019,"$150,631 ",17%,United States,Phoenix
60,E02062,Chloe Kim,Sr. Analyst,Sales,Specialty Products,Female,Asian,39.0,7/6/2012,"$72,850 ",0%,United States,Miami
61,E02063,Isaac Guzman,Account Representative,Sales,Corporate,Male,Latino,46.0,8/18/2010,"$57,951 ",0%,United States,Phoenix
62,E02064,Julian Ford,Analyst II,Sales,Manufacturing,Male,Caucasian,50.0,7/29/2010,"$70,340 ",0%,United States,Miami
63,E02065,Kinsley Liang,Automation Engineer,Engineering,Manufacturing,Female,Asian,55.0,8/25/2008,"$98,221 ",0%,China,Shanghai
64,E02066,Wesley Yu,Sr. Manager,Sales,Specialty Products,Male,Asian,43.0,9/24/2003,"$127,175 ",12%,United States,Seattle
65,E02067,Serenity Martin,Sr. Analyst,Finance,Manufacturing,Female,Black,26.0,5/16/2021,"$97,542 ",0%,United States,Phoenix
66,E02068,Ethan Sanchez,Sr. Analyst,Marketing,Research & Development,Male,Latino,34.0,5/15/2019,"$81,646 ",0%,United States,Phoenix
67,E02069,David Sanchez,Director,Sales,Specialty Products,Male,Latino,38.0,7/5/2009,"$182,055 ",27%,Brazil,Rio de Janeiro
68,E02070,Elias Hsu,Sr. Analyst,Marketing,Specialty Products,Male,Asian,35.0,1/23/2022,"$86,777 ",0%,China,Chengdu
69,E02071,Luca Phan,Manager,Marketing,Corporate,Male,Asian,39.0,6/17/2015,"$129,949 ",9%,China,Beijing
70,E02072,Olivia Xi,Manager,Sales,Specialty Products,Female,Asian,26.0,8/19/2020,"$124,535 ",6%,United States,Chicago
71,E02073,Alice Luu,System Administrator,IT,Research & Development,Female,Asian,60.0,7/17/1993,"$81,083 ",0%,United States,Columbus
72,E02074,Leonardo Ng,Analyst,Marketing,Corporate,Male,Asian,32.0,6/10/2019,"$57,727 ",0%,China,Chengdu
73,E02075,Peyton Edwards,Analyst II,Finance,Manufacturing,Female,Caucasian,65.0,7/11/2020,"$59,344 ",0%,United States,Columbus
74,E02076,Axel Patel,Sr. Analyst,Sales,Research & Development,Male,Asian,27.0,9/13/2022,"$73,203 ",0%,United States,Miami
75,E02077,Eva Chavez,IT Systems Architect,IT,Specialty Products,Female,Latino,63.0,1/17/2004,"$83,070 ",0%,Brazil,Sao Paulo
76,E02078,Savannah Lee,Manager,Human Resources,Research & Development,Female,Asian,51.0,7/22/2020,"$104,008 ",10%,China,Beijing
77,E02079,Mia Grant,Solutions Architect,IT,Corporate,Female,Caucasian,43.0,2/16/2007,"$70,923 ",0%,United States,Columbus
78,E02080,Eli Richardson,Sr. Manager,Marketing,Specialty Products,Male,Black,31.0,4/8/2018,"$159,121 ",14%,United States,Phoenix
79,E02081,Eloise Perry,Sr. Business Partner,Human Resources,Research & Development,Female,Caucasian,26.0,12/2/2020,"$88,921 ",0%,United States,Chicago
80,E02082,Ian Cheng,Sr. Manager,Sales,Specialty Products,Male,Asian,46.0,8/30/2015,"$126,704 ",14%,United States,Phoenix
81,E02083,Penelope Chan,Analyst II,Accounting,Manufacturing,Female,Asian,59.0,5/20/2012,"$57,704 ",0%,China,Shanghai
82,E02084,Sofia Vasquez,Director,Sales,Research & Development,Female,Latino,52.0,7/29/1996,"$191,455 ",24%,Brazil,Sao Paulo
83,E02085,Anthony Baker,Solutions Architect,IT,Manufacturing,Male,Caucasian,31.0,6/3/2021,"$99,937 ",0%,United States,Phoenix
84,E02086,Lucas Luong,Analyst,Marketing,Specialty Products,Male,Asian,42.0,3/12/2008,"$40,778 ",0%,China,Chengdu
85,E02087,Xavier Patel,Director,Marketing,Specialty Products,Male,Asian,53.0,11/16/2021,"$187,740 ",16%,United States,Columbus
86,E02088,Robert Soto,HRIS Analyst,Human Resources,Research & Development,Male,Latino,47.0,9/10/2008,"$72,384 ",0%,Brazil,Rio de Janeiro
87,E02089,Nevaeh Jiang,Sr. Manager,Marketing,Corporate,Female,Asian,45.0,8/5/2016,"$143,318 ",12%,China,Chengdu
88,E02090,Chloe Reyes,Director,Human Resources,Specialty Products,Female,Latino,45.0,6/18/2008,"$191,304 ",17%,United States,Phoenix
89,E02091,Lucy Edwards,Director,Human Resources,Specialty Products,Female,Black,33.0,3/16/2015,"$175,875 ",21%,United States,Columbus
90,E02092,Luna Edwards,Manager,Sales,Research & Development,Female,Black,42.0,4/13/2014,"$106,726 ",9%,United States,Seattle
91,E02093,Stella Daniels,Cloud Infrastructure Architect,IT,Manufacturing,Female,Black,37.0,10/30/2011,"$72,637 ",0%,United States,Columbus
92,E02094,Ayla Ma,Manager,Marketing,Corporate,Female,Asian,27.0,12/5/2022,"$118,304 ",7%,China,Shanghai
93,E02095,Matthew Avila,Computer Systems Manager,IT,Manufacturing,Male,Latino,55.0,6/17/2003,"$68,592 ",8%,Brazil,Sao Paulo
94,E02096,Gianna Lim,Analyst,Accounting,Research & Development,Female,Asian,46.0,4/1/2006,"$42,532 ",0%,China,Chongqing
95,E02097,Joseph Tan,Technical Architect,IT,Research & Development,Male,Asian,37.0,8/20/2015,"$65,073 ",0%,China,Shanghai
96,E02098,Connor Lai,Engineering Manager,Engineering,Corporate,Male,Asian,32.0,9/22/2019,"$111,035 ",12%,United States,Chicago
97,E02099,Ava Owens,Analyst II,Finance,Specialty Products,Female,Caucasian,28.0,2/7/2020,"$63,066 ",0%,United States,Seattle
98,E02100,Dylan Aguilar,Director,Engineering,Corporate,Male,Latino,49.0,3/27/2007,"$186,192 ",27%,Brazil,Sao Paulo
99,E02101,Leah Zheng,Director,Engineering,Corporate,Female,Asian,52.0,6/18/2016,"$182,938 ",23%,China,Chengdu
100,E02102,Jade Pham,Analyst,Accounting,Manufacturing,Female,Asian,61.0,12/12/2017,"$53,931 ",0%,China,Shanghai
101,E02103,Theodore Bui,Vice President,Sales,Specialty Products,Male,Asian,53.0,5/13/2012,"$252,140 ",38%,China,Beijing
102,E02104,Asher Chan,Sr. Business Partner,Human Resources,Corporate,Male,Asian,40.0,8/18/2018,"$73,041 ",0%,China,Shanghai
103,E02105,Ezekiel Brown,Manager,Finance,Corporate,Male,Caucasian,27.0,3/14/2022,"$120,315 ",8%,United States,Miami
104,E02106,Peyton Allen,Manager,Marketing,Specialty Products,Female,Caucasian,26.0,11/23/2020,"$112,264 ",5%,United States,Chicago
105,E02107,Parker Joseph,Systems Analyst,IT,Specialty Products,Male,Caucasian,53.0,1/21/2000,"$55,039 ",0%,United States,Seattle
106,E02108,Kayden Ortiz,Sr. Manager,Accounting,Specialty Products,Male,Latino,33.0,7/29/2013,"$134,782 ",15%,Brazil,Manaus
107,E02109,Lillian Desai,Field Engineer,Engineering,Manufacturing,Female,Asian,27.0,12/12/2022,"$92,806 ",0%,China,Chengdu
108,E02110,Avery Gutierrez,Vice President,Marketing,Corporate,Female,Latino,56.0,7/2/2016,"$181,028 ",38%,United States,Phoenix
109,E02111,Caroline Sandoval,Analyst,Sales,Corporate,Female,Latino,36.0,10/3/2013,"$48,117 ",0%,Brazil,Sao Paulo
110,E02112,Hailey Lim,Director,Marketing,Corporate,Female,Asian,47.0,1/6/2005,"$192,753 ",17%,China,Chongqing
111,E02113,Roman Liang,Sr. Analyst,Sales,Manufacturing,Male,Asian,28.0,3/4/2021,"$85,206 ",0%,China,Chongqing
112,E02114,Elias Rojas,Account Representative,Sales,Manufacturing,Male,Latino,30.0,1/7/2018,"$58,290 ",0%,United States,Chicago
113,E02115,Quinn Lai,Systems Analyst,IT,Research & Development,Female,Asian,58.0,8/28/2003,"$41,946 ",0%,United States,Phoenix
114,E02116,Clara Le,Service Desk Analyst,IT,Corporate,Female,Asian,56.0,3/15/2021,"$79,388 ",0%,China,Beijing
115,E02117,Chloe Yoon,Network Administrator,IT,Corporate,Female,Asian,65.0,2/25/2002,"$83,854 ",0%,United States,Seattle
116,E02118,Abigail Simmons,Sr. Manager,IT,Specialty Products,Female,Caucasian,29.0,4/24/2018,"$126,550 ",15%,United States,Miami
117,E02119,Ayla Espinoza,Director,Human Resources,Research & Development,Female,Latino,60.0,10/1/1993,"$199,705 ",26%,Brazil,Rio de Janeiro
118,E02120,Nova Lin,Vice President,Sales,Specialty Products,Female,Asian,31.0,4/9/2019,"$201,235 ",32%,United States,Austin
119,E02121,Sadie Singh,Director,Engineering,Specialty Products,Female,Asian,45.0,3/16/2022,"$182,717 ",26%,United States,Columbus
120,E02122,Aaron Powell,Enterprise Architect,IT,Research & Development,Male,Black,30.0,9/11/2017,"$79,975 ",0%,United States,Chicago
121,E02123,Jameson Vargas,Director,Human Resources,Specialty Products,Male,Latino,36.0,7/24/2011,"$196,554 ",20%,Brazil,Rio de Janeiro
122,E02124,Logan Young,Vice President,IT,Corporate,Male,Black,39.0,8/16/2010,"$239,395 ",33%,United States,Seattle
123,E02125,Wyatt Cheung,Analyst II,Sales,Specialty Products,Male,Asian,44.0,7/25/2013,"$53,703 ",0%,China,Beijing
124,E02126,Lucas Zhu,Manager,IT,Manufacturing,Male,Asian,53.0,3/14/2011,"$123,480 ",8%,China,Beijing
125,E02127,Emily Hong,IT Coordinator,IT,Specialty Products,Female,Asian,46.0,1/9/2021,"$41,197 ",0%,China,Beijing
126,E02128,Luke Ramos,Account Representative,Sales,Corporate,Male,Latino,30.0,7/28/2018,"$72,463 ",0%,Brazil,Manaus
127,E02129,Maya Gupta,Field Engineer,Engineering,Corporate,Female,Asian,28.0,8/4/2019,"$87,675 ",0%,China,Beijing
128,E02130,Eliana Ha,Analyst,Accounting,Specialty Products,Female,Asian,35.0,12/15/2020,"$55,833 ",0%,China,Chengdu
129,E02131,Lillian Cheng,Analyst II,Finance,Research & Development,Female,Asian,58.0,8/20/1996,"$58,208 ",0%,China,Chengdu
130,E02132,Alexander Pena,Sr. Analyst,Sales,Specialty Products,Male,Latino,47.0,5/24/2002,"$75,633 ",0%,United States,Chicago
131,E02133,Leonardo Mai,Sr. Analyst,Marketing,Specialty Products,Male,Asian,43.0,1/28/2007,"$79,090 ",0%,China,Chengdu
132,E02134,Jack Phillips,Analyst II,Finance,Manufacturing,Male,Black,47.0,7/27/2015,"$66,138 ",0%,United States,Phoenix
133,E02135,Scarlett Delgado,Cloud Infrastructure Architect,IT,Research & Development,Female,Latino,57.0,8/28/2013,"$80,728 ",0%,Brazil,Rio de Janeiro
134,E02136,Jack Rogers,Systems Analyst,IT,Corporate,Male,Black,47.0,2/1/2005,"$46,202 ",0%,United States,Phoenix
135,E02137,Violet Huynh,Manager,Sales,Research & Development,Female,Asian,50.0,2/29/2008,"$123,096 ",10%,China,Shanghai
136,E02138,Victoria Park,Analyst,Marketing,Research & Development,Female,Asian,27.0,3/18/2020,"$45,989 ",0%,United States,Chicago
